Table_Ref,CollectionYearRange,Parent_Org_ONS_Code,Parent_Org_Name,Org_ONS_Code,Org_Name,Child_Age,Unit,Indicator,Value
9a_9b_9c,2018-19,E12000002,North West,E10000017,Lancashire,24m,Number,MMR,11935
9a_9b_9c,2018-19,E12000002,North West,E10000017,Lancashire,24m,Number,Hib_MenC,12024
9a_9b_9c,2018-19,E12000002,North West,E10000017,Lancashire,24m,Number,PCV,11924
9a_9b_9c,2018-19,E12000002,North West,E10000017,Lancashire,24m,Number,MenB_booster,10838
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E06000010,Kingston upon Hull,24m,Number,24m_Eligible_Pop,3707
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E06000010,Kingston upon Hull,24m,Number,DTap_IPV_Hib,3446
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E06000010,Kingston upon Hull,24m,Number,MMR,3381
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E06000010,Kingston upon Hull,24m,Number,Hib_MenC,3416
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E06000010,Kingston upon Hull,24m,Number,PCV,3386
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E06000010,Kingston upon Hull,24m,Number,MenB_booster,3386
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E06000011,East Riding of Yorkshire,24m,Number,24m_Eligible_Pop,2902
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E06000011,East Riding of Yorkshire,24m,Number,DTap_IPV_Hib,2776
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E06000011,East Riding of Yorkshire,24m,Number,MMR,2731
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E06000011,East Riding of Yorkshire,24m,Number,Hib_MenC,2754
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E06000011,East Riding of Yorkshire,24m,Number,PCV,2745
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E06000011,East Riding of Yorkshire,24m,Number,MenB_booster,2744
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E06000012,North East Lincolnshire,24m,Number,24m_Eligible_Pop,1909
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E06000012,North East Lincolnshire,24m,Number,DTap_IPV_Hib,1858
