CTRY,SC_KNOWL,UND_SCSCI,SC_DZ,SC_POET,SC_PS,SC_SS,SC_UNI,SCINFO_30D,MDHINFO_30D,SC_INT,MDH_INT,CONF_NGO,CONF_HOSP,TRU_NEIGHB,TRU_SCI,TRU_JO,TRU_HCW,TRU_NGOPPL,TRU_TH,TRU_SC,TRUSCI_ACCINFO,TRUSCIUNI_BEN,TRUSCIUNI_HON,TRUSCICOM_BEN,TRUSCICOM_HON,SCI_BENPPL,SCI_BENRESP,SCTECH_IMPRLIFE,SCTECH_JOBS,TRU_PPLADV,TRU_HCWADV,HRD_VAC,VAC_IMPTCH,VAC_SF,VAC_EFF,TRUSCI_IDX,TRUSCI_LVL,VW_SC,AGE,AGE_CAT,GEN,EDU,LIV_AR,RGN,SUBJ_HHI,CTRY_INC,EMP_STAT
3,4,4,98,98,2,2,2,2,2,2,98,98,98,1,98,98,2,98,98,98,98,98,98,98,98,98,98,98,98,3,98,1,1,99,99,0.0,99,99,50,3,2,1,2,3,2,2,4
3,4,4,98,98,2,2,2,2,2,1,1,1,2,98,98,98,98,2,4,98,2,98,1,2,2,98,98,98,98,3,98,1,1,99,99,3.3333333333333304,2,99,46,2,2,1,1,3,2,2,6
3,4,4,1,2,2,2,2,2,2,1,1,1,2,4,98,2,2,2,4,2,2,1,4,1,1,2,2,2,98,3,2,1,1,1,1,3.0,2,3,21,1,2,1,2,3,3,2,4
3,4,2,98,1,1,2,2,1,1,1,1,1,1,4,1,1,1,1,1,1,98,1,1,1,1,3,2,98,1,3,1,1,1,2,1,4.0,3,4,40,2,2,1,1,3,3,2,1
4,2,1,1,2,1,1,97,2,2,2,2,2,1,3,2,3,2,4,4,2,2,2,4,4,4,3,2,1,2,97,2,1,1,3,3,2.2,1,4,33,2,2,2,2,13,2,3,2
4,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,3,1,1,3,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,2,3.8,3,1,47,2,2,2,1,13,2,3,6
4,2,1,1,2,1,97,97,2,2,2,2,1,2,3,2,3,3,1,3,2,2,2,4,2,4,2,1,1,2,97,3,1,1,2,2,2.6,2,2,29,1,1,2,2,13,3,3,2
4,3,2,1,2,1,97,97,2,2,2,1,2,1,3,3,3,1,4,1,3,1,1,3,2,2,3,2,2,2,3,1,1,2,99,99,3.0,2,4,60,3,2,2,1,13,3,3,3
4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,4.0,3,1,20,1,2,2,2,13,2,3,1
4,2,2,1,1,1,97,97,2,2,2,2,2,2,3,2,2,2,2,2,3,3,2,2,2,2,1,1,1,1,3,2,1,1,1,1,2.8,2,1,25,1,1,1,2,13,3,3,1
