CTRY,SC_KNOWL,UND_SCSCI,SC_DZ,SC_POET,SC_PS,SC_SS,SC_UNI,SCINFO_30D,MDHINFO_30D,SC_INT,MDH_INT,CONF_NGO,CONF_HOSP,TRU_NEIGHB,TRU_SCI,TRU_JO,TRU_HCW,TRU_NGOPPL,TRU_TH,TRU_SC,TRUSCI_ACCINFO,TRUSCIUNI_BEN,TRUSCIUNI_HON,TRUSCICOM_BEN,TRUSCICOM_HON,SCI_BENPPL,SCI_BENRESP,SCTECH_IMPRLIFE,SCTECH_JOBS,TRU_PPLADV,TRU_HCWADV,HRD_VAC,VAC_IMPTCH,VAC_SF,VAC_EFF,VAC_IDX,VAC_LVL,TRUSCI_IDX,TRUSCI_LVL,VW_SC,AGE,AGE_CAT,GEN,EDU,LIV_AR,RGN,SUBJ_HHI,CTRY_INC,EMP_STAT
166,3,1,1,1,1,1,97,1,1,1,1,1,1,2,1,3,2,2,3,1,1,1,2,98,2,2,2,1,1,3,1,1,5,3,3,3.6666666666666665,High,3.75,3,3,28,1,2,2,1,16,2,4,1
69,3,2,1,2,1,1,2,1,1,1,98,2,1,1,2,4,2,3,98,2,2,2,3,2,2,2,1,1,3,1,2,1,5,4,4,4.333333333333333,High,2.8,2,2,30,2,1,3,2,10,2,4,2
15,2,2,1,1,2,2,2,1,2,2,1,2,1,2,2,2,1,3,1,2,2,1,3,1,3,2,2,1,2,3,2,1,5,3,2,3.3333333333333335,Medium,3.2,2,3,18,1,2,2,2,17,2,4,6
5,3,4,1,2,1,97,97,2,2,2,2,1,1,2,1,2,2,2,2,1,3,3,1,2,2,2,1,1,1,3,1,1,5,5,5,5.0,High,3.0,2,2,46,2,1,1,2,13,1,4,6
104,2,1,1,1,1,1,97,1,1,1,1,1,1,2,2,2,2,1,3,2,2,2,2,2,2,2,2,1,1,3,2,1,5,5,5,5.0,High,3.0,2,3,20,1,2,2,2,8,2,4,6
132,2,2,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,3,2,2,2,2,2,2,2,2,1,1,1,3,2,1,4,4,4,4.0,High,3.2,2,2,52,3,2,3,1,15,2,4,2
61,2,2,1,2,97,97,97,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,1,1,1,1,3,2,1,5,5,5,5.0,High,3.2,2,1,27,1,1,1,1,5,2,1,6
116,2,1,1,2,1,1,1,1,1,1,1,1,1,3,2,2,2,2,2,1,1,2,2,2,2,3,2,1,1,3,1,1,5,3,5,4.333333333333333,High,3.2,2,4,23,1,2,3,2,6,1,2,6
34,2,1,2,1,1,1,1,2,1,1,1,2,1,2,2,2,1,3,4,2,2,2,2,2,3,2,1,1,1,3,1,1,5,5,5,5.0,High,3.0,2,2,47,2,2,3,2,6,2,3,1
158,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,4,2,2,4,2,1,1,1,1,1,2,1,1,1,3,1,1,5,5,5,5.0,High,3.8,3,2,19,1,1,1,1,6,3,2,2
128,2,2,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,3,2,1,2,4,4,3.3333333333333335,Medium,3.0,2,3,31,2,1,2,1,6,3,1,6
150,3,2,1,2,1,1,97,2,2,1,1,2,2,3,3,4,4,3,3,2,3,2,3,2,2,1,1,1,2,1,3,1,5,5,5,5.0,High,2.4,1,1,17,1,2,2,1,1,3,3,6
65,4,3,1,1,1,97,97,2,2,1,1,1,1,2,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,3,1,1,5,4,5,4.666666666666667,High,4.0,3,1,20,1,2,1,1,1,3,1,5
116,3,2,1,2,1,1,1,2,2,1,1,1,1,3,2,2,2,2,4,2,2,2,2,2,3,2,1,1,2,3,2,1,5,5,4,4.666666666666667,High,3.0,2,2,30,2,2,3,2,6,2,2,5
106,3,3,1,2,2,1,97,1,1,1,1,2,2,4,3,2,1,1,3,1,1,3,1,3,1,2,1,1,1,3,3,1,5,3,3,3.6666666666666665,High,2.8,2,2,16,1,2,2,2,1,2,1,6
150,2,1,1,1,1,1,2,1,1,1,1,1,2,3,2,3,3,3,4,1,2,2,3,2,2,1,1,1,1,1,2,1,5,3,3,3.6666666666666665,High,2.8,2,1,30,2,2,3,2,1,1,3,1
65,98,3,1,2,2,2,2,2,1,1,1,2,1,2,98,98,2,3,4,98,2,2,98,2,2,2,1,1,1,3,1,1,5,5,5,5.0,High,3.0,2,2,24,1,2,1,1,1,3,1,2
173,1,1,1,2,1,1,1,1,1,1,1,2,2,3,2,3,3,3,2,2,2,3,4,4,4,98,98,2,2,97,3,1,4,2,2,2.6666666666666665,Medium,2.0,1,99,52,3,2,3,2,16,2,3,1
69,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,2,2,2,2,2,2,2,2,1,1,1,1,3,2,1,4,3,3,3.3333333333333335,Medium,3.0,2,1,47,2,1,3,2,10,2,4,1
12,3,3,1,1,1,1,1,2,2,2,2,2,2,1,4,4,3,3,2,1,3,3,3,3,3,2,1,1,2,3,1,1,5,4,5,4.666666666666667,High,1.8,1,2,32,2,2,3,1,15,2,4,2
115,3,1,1,1,1,1,1,1,1,1,1,2,1,4,1,4,1,3,4,1,3,2,4,1,2,2,1,1,1,1,2,1,5,5,5,5.0,High,2.8,2,2,22,1,2,2,1,8,1,3,2
76,2,1,1,2,1,1,2,1,1,1,1,98,2,3,2,3,2,2,3,2,2,2,3,3,3,3,2,1,98,97,2,1,3,3,3,3.0,Medium,2.6,2,4,56,3,2,2,2,14,2,3,6
190,2,1,1,1,1,1,1,1,1,1,1,98,1,2,2,3,2,3,4,2,2,2,2,2,2,2,1,98,2,3,2,1,5,5,5,5.0,High,3.0,2,2,33,2,1,3,2,3,2,2,1
14,1,1,1,2,2,1,1,1,1,1,1,98,1,1,2,2,1,2,1,1,4,2,4,2,2,2,2,1,2,3,1,1,5,4,5,4.666666666666667,High,2.2,1,3,43,2,1,3,2,17,3,4,6
116,4,4,1,2,2,98,2,2,2,2,2,98,2,2,98,2,2,3,4,2,98,3,2,2,2,2,2,1,98,1,2,1,5,5,5,5.0,High,2.6666666666666696,2,3,18,1,1,1,2,6,1,2,1
